id;exam_name;semester;exam_date;start_time;end_time;grade_type;total;passing;actions;groupvalue;countvalue;branch_id;subject_id;department_id;academicyear_id;section_id;batch_id
1;Internal;Synchronised;2020-05-21;scalable Internal Future;Fantastic Metal Sausages Gloves;Steel SMTP bluetooth;77871;77744;Singapore;94876;85939;91821;50245;71640;58186;54277;46440
2;virtual Locks;South Carolina Coordinator;2020-05-22;Checking Account;Awesome back up Assurance;Liaison eyeballs;45915;48317;technologies SCSI synthesize;3381;79960;67464;95243;33063;91179;3075;3242
3;leading edge synergy Auto Loan Account;THX;2020-05-21;Incredible Branding;Handcrafted;Credit Card Account approach Jewelery;11582;40914;Fantastic Frozen Shoes Baby;97265;27066;71061;14148;89230;69178;76591;26565
4;parsing Investment Account salmon;conglomeration;2020-05-22;Kids quantifying;one-to-one;Directives compressing Fantastic;57866;37686;District Practical Practical Concrete Gloves;17513;43634;50077;51138;78611;14925;95073;65843
5;Consultant content-based override;Meadows California Infrastructure;2020-05-21;Idaho fuchsia schemas;Function-based;Spain Bosnia and Herzegovina;70420;52401;Avon;29738;71939;15712;97568;65582;74155;82867;68474
6;collaborative;unleash Handmade instruction set;2020-05-21;Money Market Account Inlet;Incredible bypassing;Garden;29214;32899;Coordinator Plain;46476;83836;37130;24191;70646;92768;17881;684
7;heuristic;Computer Forks Fantastic Frozen Mouse;2020-05-22;Cedi;Rial Omani;Avon Coves;93529;81451;ROI;20494;12010;21990;22541;14637;54;60021;76727
8;Nicaragua Regional;synthesize magenta;2020-05-21;Texas GB robust;XML;Small Steel Table;5943;58409;capacitor Plastic;35882;5827;61806;64897;80467;96632;97601;16424
9;Burg;back up mindshare Cambridgeshire;2020-05-21;rich;Wooden;cross-platform;63894;71386;Israel utilize sensor;99322;32092;49131;46943;2684;96429;98466;61533
10;Lead orchid;Fantastic Wooden Chair front-end Bedfordshire;2020-05-21;Pakistan Rupee Keyboard;invoice;24/365;1056;94835;Industrial Baby Sleek;10765;60181;82;10478;31900;23256;85175;99034
