id;marks_obtained;comments;g_op;section_id;subject_id;department_id;batch_id;academicyear_id;student_id
1;95223;Electronics;21112;33126;45312;89296;75983;28716;33720
2;78532;turn-key HDD;63274;60824;52835;19275;63722;78723;85301
3;63120;Universal Summit;94310;23706;93152;82846;32259;6354;90831
4;33308;Forward compress Compatible;84475;85641;21272;57480;23901;65992;1471
5;67943;integrated Keyboard Sports;79924;82719;6807;43927;17643;10290;62524
6;17325;extend Nebraska;55401;4394;77275;73431;38702;65211;23678
7;20647;Nuevo Sol Granite North Dakota;47015;24552;95311;25377;29356;96333;87942
8;88648;programming overriding Operations;82683;72536;14575;19603;59390;28556;83319
9;64023;Bedfordshire Liaison;59924;71642;53781;65592;6502;9230;52888
10;90277;SCSI;89200;23866;2646;52551;85200;75821;23018
